country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
BY,Belarus,Europe,Eastern Europe,BR,Brest,Antopal’,52.2038,24.7863
BY,Belarus,Europe,Eastern Europe,BR,Brest,Asnyezhytsy,52.1891,26.1299
BY,Belarus,Europe,Eastern Europe,BR,Brest,Baranovichi,53.1327,26.0139
BY,Belarus,Europe,Eastern Europe,BR,Brest,Baranovichskiy Rayon,53.16667,25.83333
BY,Belarus,Europe,Eastern Europe,BR,Brest,Brest,52.09755,23.68775
BY,Belarus,Europe,Eastern Europe,BR,Brest,Brestski Rayon,52,23.75
BY,Belarus,Europe,Eastern Europe,BR,Brest,Byaroza,52.5314,24.9786
BY,Belarus,Europe,Eastern Europe,BR,Brest,Byarozawski Rayon,52.5,25
BY,Belarus,Europe,Eastern Europe,BR,Brest,Byelaazyorsk,52.4731,25.1784
BY,Belarus,Europe,Eastern Europe,BR,Brest,Charnawchytsy,52.21948,23.74043
BY,Belarus,Europe,Eastern Europe,BR,Brest,Damachava,51.75,23.6
BY,Belarus,Europe,Eastern Europe,BR,Brest,Davyd-Haradok,52.0566,27.2161
BY,Belarus,Europe,Eastern Europe,BR,Brest,Drahichyn,52.1874,25.1597
BY,Belarus,Europe,Eastern Europe,BR,Brest,Drahichynski Rayon,52.16667,25
BY,Belarus,Europe,Eastern Europe,BR,Brest,Hantsavichy,52.758,26.43
BY,Belarus,Europe,Eastern Europe,BR,Brest,Hantsavitski Rayon,52.66667,26.5
BY,Belarus,Europe,Eastern Europe,BR,Brest,Haradzishcha,53.3247,26.0107
BY,Belarus,Europe,Eastern Europe,BR,Brest,Horad Baranavichy,53.13333,26.03333
BY,Belarus,Europe,Eastern Europe,BR,Brest,Horad Brest,52.1,23.7
BY,Belarus,Europe,Eastern Europe,BR,Brest,Ivanava,52.1451,25.5365
BY,Belarus,Europe,Eastern Europe,BR,Brest,Ivanawski Rayon,52.16667,25.58333
BY,Belarus,Europe,Eastern Europe,BR,Brest,Ivatsevichy,52.709,25.3401
BY,Belarus,Europe,Eastern Europe,BR,Brest,Kamyanyets,52.40013,23.81
BY,Belarus,Europe,Eastern Europe,BR,Brest,Kamyanyetski Rayon,52.41667,23.66667
BY,Belarus,Europe,Eastern Europe,BR,Brest,Kamyanyuki,52.55757,23.80525
BY,Belarus,Europe,Eastern Europe,BR,Brest,Kobryn,52.2138,24.3564
BY,Belarus,Europe,Eastern Europe,BR,Brest,Kosava,52.7583,25.1554
BY,Belarus,Europe,Eastern Europe,BR,Brest,Lahishyn,52.339,25.9867
BY,Belarus,Europe,Eastern Europe,BR,Brest,Luninyets,52.2472,26.8047
BY,Belarus,Europe,Eastern Europe,BR,Brest,Lyakhavichy,53.0388,26.2656
BY,Belarus,Europe,Eastern Europe,BR,Brest,Malaryta,51.7905,24.074
BY,Belarus,Europe,Eastern Europe,BR,Brest,Mikashevichy,52.2173,27.476
BY,Belarus,Europe,Eastern Europe,BR,Brest,Motal’,52.3138,25.6072
BY,Belarus,Europe,Eastern Europe,BR,Brest,Nyakhachava,52.644,25.2027
BY,Belarus,Europe,Eastern Europe,BR,Brest,Pinsk,52.1229,26.0951
BY,Belarus,Europe,Eastern Europe,BR,Brest,Pruzhanski Rayon,52.66667,24.58333
BY,Belarus,Europe,Eastern Europe,BR,Brest,Pruzhany,52.556,24.4573
BY,Belarus,Europe,Eastern Europe,BR,Brest,Ruzhany,52.86322,24.89357
BY,Belarus,Europe,Eastern Europe,BR,Brest,Stolin,51.89115,26.84597
BY,Belarus,Europe,Eastern Europe,BR,Brest,Stolinski Rayon,52,27
BY,Belarus,Europe,Eastern Europe,BR,Brest,Tsyelyakhany,52.5175,25.8429
BY,Belarus,Europe,Eastern Europe,BR,Brest,Vysokaye,52.37091,23.37083
BY,Belarus,Europe,Eastern Europe,BR,Brest,Zhabinka,52.1984,24.0115
BY,Belarus,Europe,Eastern Europe,BR,Brest,Zhabinkawski Rayon,52.16667,24.08333
BY,Belarus,Europe,Eastern Europe,BR,Brest,Znamenka,51.88168,23.65545
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Aktsyabrski,52.644,28.8801
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Brahin,51.787,30.2677
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Brahinski Rayon,51.66667,30.33333
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Buda-Kashalyova,52.7179,30.5701
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Chachersk,52.9164,30.9179
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Chacherski Rayon,52.91667,31.08333
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Dobrush,52.4089,31.3237
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Dowsk,53.1571,30.4601
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Homyel',52.4345,30.9754
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Homyel’ski Rayon,52.33333,31
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Kalinkavichy,52.1323,29.3257
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Karanyowka,52.3506,31.1121
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Karma,53.1301,30.8016
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Kastsyukowka,52.5387,30.9173
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Khal’ch,52.5643,31.1364
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Khoyniki,51.8911,29.9552
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Loyew,51.9458,30.7953
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Lyel’chytski Rayon,51.83333,28.25
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Lyel’chytsy,51.7862,28.3288
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Mazyr,52.0495,29.2456
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Mazyrski Rayon,52,29
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Narowlya,51.7961,29.5004
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Novaya Huta,52.1032,30.9837
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Parychy,52.8042,29.4176
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Peramoga,52.3973,31.071
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Pyetrykaw,52.1289,28.4921
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Rahachow,53.0934,30.0495
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Rahachowski Rayon,53.16667,30.16667
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Rechytsa,52.3617,30.3916
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Sasnovy Bor,52.5194,29.5988
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Svyetlahorsk,52.6329,29.7389
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Turaw,52.0683,27.735
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Vasilyevichy,52.2512,29.8288
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Vyetka,52.5591,31.1794
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Vyetkawski Rayon,52.66667,31.25
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Yel’sk,51.8141,29.1522
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Zhlobin,52.8926,30.024
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Zhlobinski Rayon,52.75,29.83333
BY,Belarus,Europe,Eastern Europe,HO,Gomel,Zhytkavichy,52.2168,27.8561
BY,Belarus,Europe,Eastern Europe,HR,Grodno,Ashmyanski Rayon,54.41667,25.91667
BY,Belarus,Europe,Eastern Europe,HR,Grodno,Ashmyany,54.421,25.936
BY,Belarus,Europe,Eastern Europe,HR,Grodno,Astravyets,54.61378,25.95537
BY,Belarus,Europe,Eastern Europe,HR,Grodno,Astravyetski Rayon,54.66667,26
BY,Belarus,Europe,Eastern Europe,HR,Grodno,Baruny,54.3171,26.1376
