country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Amnat Charoen,15.85851,104.62883
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Chanuman,16.12553,104.92279
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Hua Taphan,15.67594,104.52702
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Lue Amnat,15.70781,104.71118
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Mueang Amnat Charoen,15.87864,104.64284
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Pathum Ratchawongsa,15.89542,104.89611
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Phana,15.66895,104.85675
TH,Thailand,Asia,South-Eastern Asia,37,Amnat Charoen,Senangkhanikhom,16.0513,104.68441
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Amphoe Chaiyo,14.67225,100.46786
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Amphoe Pho Thong,14.67344,100.34569
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Ang Thong,14.58839,100.45283
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Ban Thai Tan,14.62161,100.48739
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Chaiyo,14.67639,100.46861
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Mueang Ang Thong,14.57815,100.44393
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Pa Mok,14.4862,100.4573
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Pho Thong,14.66731,100.40878
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Sawaeng Ha,14.74635,100.28963
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Wiset Chai Chan,14.5499,100.31743
TH,Thailand,Asia,South-Eastern Asia,15,Ang Thong,Wiset Chaichan,14.5945,100.33825
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Bon,13.6592,100.38801
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Kapi,13.77258,100.63847
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Khae,13.71927,100.39278
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Khen,13.86901,100.62769
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Kho laen,13.70025,100.50971
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Khun thain,13.59482,100.42694
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Na,13.67252,100.62089
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Phlat,13.78668,100.49152
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Rak,13.73058,100.52388
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bang Sue,13.81921,100.5279
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bangkok,13.75398,100.50144
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bangkok Noi,13.76551,100.46988
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bangkok Yai,13.73748,100.47428
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Bueng Kum,13.81023,100.6514
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Chatu Chak,13.82888,100.56374
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Chom Thong,13.6891,100.46175
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Din Daeng,13.77728,100.56235
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Don Mueang,13.92601,100.59365
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Dusit,13.78235,100.51677
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Huai Khwang,13.7706,100.58119
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Khan Na Yao,13.8238,100.67649
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Khlong Sam Wa,13.87633,100.73805
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Khlong San,13.72602,100.50071
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Khlong Toei,13.71806,100.57065
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Lak Si,13.8821,100.56889
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Lat Krabang,13.745,100.79224
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Lat Phrao,13.82779,100.60672
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Min Buri,13.81254,100.75334
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Nong Chok,13.8528,100.85788
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Nong Khaem,13.69979,100.35364
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Parthum Wan,13.74265,100.53398
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Phasi Charoen,13.72597,100.44103
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Phaya Thai,13.78442,100.54306
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Phra Khanong,13.69705,100.61234
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Phra Nakhon,13.75831,100.49613
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Pom Prap Sattru Phai,13.7548,100.50995
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Pra Wet,13.71735,100.69452
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Rat Burana,13.67633,100.49881
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Ratchathewi,13.76029,100.53724
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Sai Mai,13.90727,100.65181
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Samphanthawong,13.74233,100.50765
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Saphan Sung,13.76531,100.69001
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Sathon,13.71745,100.52999
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Suanluang,13.72989,100.62677
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Taling Chan,13.77271,100.43289
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Thawi Watthana,13.77637,100.3662
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Thon buri,13.71874,100.48367
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Thung khru,13.63387,100.49641
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Vadhana,13.73501,100.5828
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Wang Thong Lang,13.78188,100.60804
TH,Thailand,Asia,South-Eastern Asia,10,Bangkok,Yan na wa,13.69177,100.5395
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Amphoe Seka,17.98734,103.89616
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Bueng Kan,18.36303,103.65194
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Bueng Khong Long,18.00899,104.07302
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Bung Khla,18.24726,103.99427
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Mueang Bueng Kan,18.2995,103.64016
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Pak Khat,18.27738,103.3414
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Phon Charoen,18.07967,103.65453
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Seka,17.92851,103.95519
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,Si Wilai,18.15528,103.77975
TH,Thailand,Asia,South-Eastern Asia,38,Bueng Kan,So Phisai,18.14176,103.44923
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Amphoe Nang Rong,14.63333,102.76667
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Amphoe Nong Ki,14.72696,102.55798
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Amphoe Prakhon Chai,14.61041,103.06054
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Amphoe Satuek,15.22699,103.33006
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Ban Dan,15.12363,103.18937
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Ban Kruat,14.39205,103.11494
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Ban Mai Chaiyaphot,15.57857,102.84394
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Buri Ram,14.99433,103.10392
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Chaloem Phra Kiat,14.55725,102.89878
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Chamni,14.78636,102.85386
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Huai Rat,15.00896,103.23499
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Khaen Dong,15.3062,103.13286
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Khu Mueang,15.26844,103.02717
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Krasang,14.94167,103.31898
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Lahan Sai,14.32194,102.87994
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Lam Plai Mat,15.01688,102.87479
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Mueang Buriram,14.94078,103.06244
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Na Pho,15.69565,102.93857
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Nang Rong,14.6377,102.79138
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Non Din Daeng,14.2201,102.68233
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Non Suwan,14.55511,102.58339
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Nong Hong,14.86149,102.6708
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Nong Ki,14.68679,102.538
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Pa Kham,14.4,102.66667
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Phlapphla Chai,14.73299,103.17015
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Phutthaisong,15.53249,102.98701
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Prakhon Chai,14.60592,103.12081
TH,Thailand,Asia,South-Eastern Asia,31,Buri Ram,Satuek,15.29703,103.29192
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Amphoe Bang Khla,13.74186,101.20754
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Amphoe Bang Nam Priao,13.88034,101.03232
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Amphoe Bang Pakong,13.53241,100.96045
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Amphoe Khlong Khuean,13.77961,101.15633
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Amphoe Phanom Sarakham,13.73806,101.41202
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Ban Pho,13.61,101.07838
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Bang Khla,13.72144,101.20814
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Bang Nam Priao,13.84739,101.05306
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Bang Pakong,13.54297,100.99333
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Chachoengsao,13.6882,101.07156
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Khlong Khuean,13.79131,101.16353
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Mueang Chachoengsao,13.71758,101.02152
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Phanom Sarakham,13.74872,101.34888
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Plaeng Yao,13.56381,101.33972
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Ratchasan,13.7866,101.28136
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Sanam Chai Khet,13.62612,101.65475
TH,Thailand,Asia,South-Eastern Asia,24,Chachoengsao,Tha Takiap,13.3951,101.73457
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Chai Nat,15.18636,100.12353
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Hankha,15.05048,99.9609
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Manorom,15.31894,100.15677
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Mueang Chainat,15.19104,100.1354
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Noen Kham,14.98254,99.8459
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Nong Mamong,15.23372,99.81087
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Sankhaburi,15.02105,100.17038
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Sapphaya,15.14873,100.25506
TH,Thailand,Asia,South-Eastern Asia,18,Chai Nat,Wat Sing,15.21574,99.9668
TH,Thailand,Asia,South-Eastern Asia,36,Chaiyaphum,Bamnet Narong,15.50189,101.68982
TH,Thailand,Asia,South-Eastern Asia,36,Chaiyaphum,Chaiyaphum,15.81047,102.02881
TH,Thailand,Asia,South-Eastern Asia,36,Chaiyaphum,Kaeng Khro,16.10861111,102.25805556
TH,Thailand,Asia,South-Eastern Asia,36,Chaiyaphum,Kaset Sombun,16.28053,101.95422
TH,Thailand,Asia,South-Eastern Asia,36,Chaiyaphum,Nakhon Nayok,14.203056,101.215
TH,Thailand,Asia,South-Eastern Asia,36,Chaiyaphum,Phu Khiao,16.3765,102.12853
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Amphoe Khlung,12.57246,102.30783
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Amphoe Laem Sing,12.45689,102.14262
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Amphoe Pong Nam Ron,12.93467,102.37189
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Amphoe Tha Mai,12.73848,101.97696
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Chanthaburi,12.60961,102.10447
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Kaeng Hang Maeo,13.0969,101.88543
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Khao Khitchakut,12.93726,102.09762
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Khlung,12.45467,102.22142
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Laem Sing,12.48164,102.07375
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Makham,12.73333,102.21667
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Mueang Chanthaburi,12.59542,102.12263
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Na Yai Am,12.73833,101.87502
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Pong Nam Ron,12.90575,102.26225
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Soi Dao,13.17034,102.22796
TH,Thailand,Asia,South-Eastern Asia,22,Chanthaburi,Tha Mai,12.62137,102.00481
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Amphoe Chai Prakan,19.674,99.17478
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Amphoe Chom Thong,18.39242,98.59761
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Amphoe Fang,19.8755,99.16345
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Amphoe Hang Dong,18.73869,98.88439
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Amphoe San Kamphaeng,18.73497,99.18609
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Amphoe San Pa Tong,18.60567,98.88531
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Chai Prakan,19.73136,99.13997
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Chiang Dao,19.51279,98.9418
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Chiang Mai,18.79038,98.98468
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Chom Thong,18.41742,98.67428
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Doi Lo,18.5333,98.76843
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Doi Saket,18.92372,99.21272
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Doi Tao,17.89703,98.66292
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Fang,19.91689,99.2145
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Galyani Vadhana,18.94439,98.30329
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Hang Dong,18.68703,98.91939
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Hot,18.11581,98.46377
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mae Ai,19.99136,99.33976
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mae Chaem,18.66694,98.3245
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mae On,18.73496,99.30378
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mae Rim,18.94139,98.88667
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mae Taeng,19.16667,98.83333
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mae Wang,18.67457,98.68714
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Mueang Chiang Mai,18.79008,98.96869
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Om Koi,17.69842,98.35433
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Pai,19.36168,98.43973
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Phrao,19.2846,99.22277
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Samoeng,18.90027,98.6565
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,San Kamphaeng,18.74486,99.11953
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,San Pa Tong,18.62828,98.89572
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,San Sai,18.94101,99.04048
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Saraphi,18.70511,99.02989
TH,Thailand,Asia,South-Eastern Asia,50,Chiang Mai,Wiang Haeng,19.59188,98.65845
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Amphoe Chiang Khong,20.13587,100.36527
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Amphoe Chiang Saen,20.23572,100.15537
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Amphoe Mae Chan,20.1991,99.88468
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Amphoe Mae Sai,20.365,99.92604
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Amphoe Pa Daet,19.50643,99.97615
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Chiang Khong,20.26125,100.40461
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Chiang Rai,19.90858,99.8325
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Chiang Saen,20.27511,100.08689
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Doi Luang,20.14496,100.15712
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Khun Tan,19.86481,100.28731
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Mae Chan,20.14675,99.85256
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Mae Fa Luang,20.22228,99.64147
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Mae Lao,19.77223,99.71128
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Mae Sai,20.43353,99.87617
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Mae Suai,19.69037,99.48459
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Mueang Chiang Rai,19.90824,99.77299
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Pa Daet,19.50489,99.99241
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Phan,19.5745,99.77299
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Phaya Mengrai,19.8732,100.16257
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Thoeng,19.6765,100.20095
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Wiang Chai,19.8636,100.00065
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Wiang Chiang Rung,20.02208,100.07472
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Wiang Kaen,20.00874,100.48641
TH,Thailand,Asia,South-Eastern Asia,57,Chiang Rai,Wiang Pa Pao,19.3046,99.44925
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Amphoe Ban Bueng,13.2528,101.18151
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Amphoe Ko Si Chang,13.15286,100.81156
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Amphoe Phan Thong,13.463,101.09131
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Amphoe Phanat Nikhom,13.46434,101.21428
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Amphoe Sattahip,12.71743,100.92754
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Amphoe Si Racha,13.12976,101.04008
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Ban Bueng,13.311,101.11214
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Ban Ko Lan,12.92419,100.78794
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Ban Talat Bueng,13.07147,101.00314
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Bang Lamung,13.04704,100.92891
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Bang Lamung District,12.92579,100.89243
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Bo Thong,13.24227,101.50864
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Chon Buri,13.3622,100.98345
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Ko Chan,13.40253,101.388
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Ko Si Chang,13.16389,100.80547
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Mueang Chonburi,13.34271,101.00111
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Nong Yai,13.11772,101.37471
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Pattaya,12.93333,100.88333
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Phan Thong,13.46804,101.09532
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Phanat Nikhom,13.44581,101.18445
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Sattahip,12.66644,100.90073
TH,Thailand,Asia,South-Eastern Asia,20,Chon Buri,Si Racha,13.17372,100.93111
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Amphoe Lang Suan,9.93386,99.05292
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Ban Nam Yuen,9.87686,98.86592
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Chumphon,10.4957,99.17971
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Lamae,9.75567,99.04378
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Lang Suan,9.94561,99.07847
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Mueang Chumphon,10.46077,99.10608
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Pathio,10.81008,99.33938
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Phato,9.81066,98.80178
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Sawi,10.24008,99.01865
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Tha Sae,10.76864,99.09878
TH,Thailand,Asia,South-Eastern Asia,86,Chumphon,Thung Tako,10.09223,99.05337
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Amphoe Huai Mek,16.58868,103.24098
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Amphoe Kamalasai,16.27999,103.6001
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Amphoe Khao Wong,16.67959,104.1003
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Amphoe Kuchinarai,16.51977,104.05097
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Amphoe Nong Kung Si,16.71932,103.31922
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Amphoe Yang Talat,16.43961,103.34085
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Don Chan,16.46667,103.71667
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Huai Mek,16.58975,103.23547
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Huai Phueng,16.66972,103.87997
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Kalasin,16.43281,103.50658
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Kamalasai,16.33839,103.57564
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Kham Muang,16.93884,103.6398
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Khao Wong,16.70008,104.09019
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Khong Chai,16.25845,103.48167
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Kuchinarai,16.541,104.05004
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Mueang Kalasin,16.50918,103.54984
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Na Khu,16.75018,104.00062
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Na Mon,16.56994,103.78015
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Nong Kung Si,16.65,103.3
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Rong Kham,16.27925,103.71238
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Sahatsakhan,16.70987,103.57909
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Sam Chai,16.86909,103.52243
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Somdet,16.76973,103.75012
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Tha Khantho,16.88333,103.25
TH,Thailand,Asia,South-Eastern Asia,46,Kalasin,Yang Talat,16.39982,103.36785
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Amphoe Khanu Woralaksaburi,16.00233,99.67618
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Amphoe Lan Krabue,16.60348,99.86521
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Bueng Samakkhi,16.21262,99.9672
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Kamphaeng Phet,16.48344,99.52153
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Khanu Woralaksaburi,16.0617,99.86058
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Khlong Khlung,16.22191,99.67654
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Khlong Lan,16.25992,99.21806
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Kosamphi Nakhon,16.60702,99.34795
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Lan Krabue,16.60003,99.84889
TH,Thailand,Asia,South-Eastern Asia,62,Kamphaeng Phet,Mueang Kamphaeng Phet,16.43254,99.48831
